"rank","timestamp"
"915","2019-09-02 14:40:37"
"914","2019-09-02 14:46:25"
"913","2019-09-02 14:52:13"
"912","2019-09-02 14:58:01"
"911","2019-09-02 15:03:49"
"910","2019-09-02 15:09:37"
"909","2019-09-02 15:15:41"
"908","2019-09-02 15:21:44"
"907","2019-09-02 15:27:48"
"906","2019-09-02 15:33:52"
"905","2019-09-02 15:39:56"
"904","2019-09-02 15:46:00"
"903","2019-09-02 15:52:04"
"902","2019-09-02 15:58:08"
"901","2019-09-02 16:04:12"
"900","2019-09-02 16:10:16"
"899","2019-09-02 16:16:20"
"898","2019-09-02 16:22:24"
"897","2019-09-02 16:28:28"
"896","2019-09-02 16:34:32"
"895","2019-09-02 16:40:36"
"894","2019-09-02 16:46:40"
"893","2019-09-02 16:52:44"
"892","2019-09-02 16:58:48"
"891","2019-09-02 17:04:52"
"890","2019-09-02 17:10:56"
"889","2019-09-02 17:17:00"
"888","2019-09-02 17:23:04"
"887","2019-09-02 17:29:08"
"886","2019-09-02 17:35:12"
"885","2019-09-02 17:41:16"
"884","2019-09-02 17:47:20"
"883","2019-09-02 17:53:24"
"882","2019-09-02 17:59:28"
"881","2019-09-02 18:05:32"
"880","2019-09-02 18:11:36"
"879","2019-09-02 18:17:40"
"878","2019-09-02 18:23:44"
"877","2019-09-02 18:29:48"
"876","2019-09-02 18:35:52"
"875","2019-09-03 08:05:00"
"874","2019-09-03 08:15:00"
"873","2019-09-03 08:25:00"
"872","2019-09-03 08:35:00"
"871","2019-09-03 08:45:00"
"870","2019-09-03 08:55:00"
"869","2019-09-03 09:05:00"
"868","2019-09-03 09:15:00"
"867","2019-09-03 09:20:00"
"866","2019-09-03 09:25:00"
"865","2019-09-03 09:30:00"
"864","2019-09-03 09:35:00"
"863","2019-09-03 09:40:00"
"862","2019-09-03 09:45:00"
"861","2019-09-03 09:50:00"
"860","2019-09-03 09:55:00"
"859","2019-09-03 10:00:00"
"858","2019-09-03 10:05:00"
"857","2019-09-03 10:10:00"
"856","2019-09-03 10:15:00"
"855","2019-09-03 10:20:00"
"854","2019-09-03 10:25:00"
"853","2019-09-03 10:30:00"
"852","2019-09-03 10:35:00"
"851","2019-09-03 10:40:00"
"850","2019-09-03 10:45:00"
"849","2019-09-03 10:50:00"
"848","2019-09-03 10:55:00"
"847","2019-09-03 11:00:00"
"846","2019-09-03 11:05:00"
"845","2019-09-03 11:10:00"
"844","2019-09-03 11:15:00"
"843","2019-09-03 11:20:00"
"842","2019-09-03 11:25:00"
"841","2019-09-03 11:30:00"
"840","2019-09-03 11:35:00"
"839","2019-09-03 11:40:00"
