"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"94","La Grange","","ZZ Top","","","2022-10-24 06:35:30","https://images.mediaworks.nz/radio/song/images/la_grange_400_zz_top.jpg?width=400&height=400&crop=auto"
"95","Free Fallin'","","Tom Petty","","","2022-10-24 06:30:30","https://images.mediaworks.nz/radio/song/images/free_fallin__400_tom_petty.jpg?width=400&height=400&crop=auto"
"96","Radar Love","","Golden Earring","","","2022-10-24 06:25:30","https://images.mediaworks.nz/radio/song/images/radar_love_400_golden_earring.jpg?width=400&height=400&crop=auto"
"97","Great Southern Land","","Icehouse","","","2022-10-24 06:20:30","https://images.mediaworks.nz/radio/song/images/great_southern_land_400_icehouse.jpg?width=400&height=400&crop=auto"
"98","Roadhouse Blues","","Doors","","","2022-10-24 06:15:30","https://images.mediaworks.nz/radio/song/images/roadhouse_blues_400_doors.jpg?width=400&height=400&crop=auto"
"99","The River","","Bruce Springsteen","","","2022-10-24 06:10:30","https://images.mediaworks.nz/radio/song/images/the_river_400_bruce_springsteen.jpg?width=400&height=400&crop=auto"
"100","Like A Hurricane","","Neil Young","","","2022-10-23 18:57:30","https://images.mediaworks.nz/radio/song/images/like_a_hurricane_400_neil_young.jpg?width=400&height=400&crop=auto"
"101","Private Investigations","","Dire Straits","","","2022-10-23 18:50:40","https://images.mediaworks.nz/radio/song/images/private_investigations_400_dire_straits.jpg?width=400&height=400&crop=auto"
"102","Be Mine Tonight","","Th' Dudes","","","2022-10-23 18:43:50","https://images.mediaworks.nz/radio/song/images/be_mine_tonight_400_th_dudes.jpg?width=400&height=400&crop=auto"
"103","Turn The Page","","Bob Seger & The Silver Bullet Band","","","2022-10-23 18:37:00","https://images.mediaworks.nz/radio/song/images/turn_the_page_400_bob_seger_the_silver_bullet_band.jpg?width=400&height=400&crop=auto"
"104","Psycho Killer","","Talking Heads","","","2022-10-23 18:30:10","https://images.mediaworks.nz/radio/song/images/psycho_killer_400_talking_heads.jpg?width=400&height=400&crop=auto"
"105","Child In Time","","Deep Purple","","","2022-10-23 18:23:20","https://images.mediaworks.nz/radio/song/images/child_in_time_400_deep_purple.jpg?width=400&height=400&crop=auto"
"106","Drive","","Cars","","","2022-10-23 18:16:30","https://images.mediaworks.nz/radio/song/images/drive_400_cars.jpg?width=400&height=400&crop=auto"
"107","Over The Hills And Far Away","","Led Zeppelin","","","2022-10-23 18:09:40","https://images.mediaworks.nz/radio/song/images/over_the_hills_and_far_away_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"108","I'm On Fire","","Bruce Springsteen","","","2022-10-23 18:02:50","https://images.mediaworks.nz/radio/song/images/i_m_on_fire_400_bruce_springsteen.jpg?width=400&height=400&crop=auto"
"109","Angie","","Rolling Stones","","","2022-10-23 17:55:00","https://images.mediaworks.nz/radio/song/images/angie_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"110","Somebody To Love","","Queen","","","2022-10-23 17:47:10","https://images.mediaworks.nz/radio/song/images/somebody_to_love_400_queen.jpg?width=400&height=400&crop=auto"
"111","Ashes To Ashes","","David Bowie","","","2022-10-23 17:41:20","https://images.mediaworks.nz/radio/song/images/ashes_to_ashes_400_david_bowie.jpg?width=400&height=400&crop=auto"
"112","Locomotive Breath","","Jethro Tull","","","2022-10-23 17:35:30","https://images.mediaworks.nz/radio/song/images/locomotive_breath_400_jethro_tull.jpg?width=400&height=400&crop=auto"
"113","Purple Rain","","Prince","","","2022-10-23 17:29:40","https://images.mediaworks.nz/radio/song/images/purple_rain_400_prince.jpg?width=400&height=400&crop=auto"
"114","Dreams","","Fleetwood Mac","","","2022-10-23 17:23:50","https://images.mediaworks.nz/radio/song/images/dreams_400_fleetwood_mac.jpg?width=400&height=400&crop=auto"
"115","Sweet Home Alabama","","Lynyrd Skynyrd","","","2022-10-23 17:18:00","https://images.mediaworks.nz/radio/song/images/sweet_home_alabama_400_lynyrd_skynyrd.jpg?width=400&height=400&crop=auto"
"116","Bennie & The Jets","","Elton John","","","2022-10-23 17:12:10","https://images.mediaworks.nz/radio/song/images/bennie_the_jets_400_elton_john.jpg?width=400&height=400&crop=auto"
"117","L.A. Woman","","Doors","","","2022-10-23 17:06:20","https://images.mediaworks.nz/radio/song/images/l_a_woman_400_doors.jpg?width=400&height=400&crop=auto"
"118","Who Wants To Live Forever","","Queen","","","2022-10-23 17:00:30","https://images.mediaworks.nz/radio/song/images/who_wants_to_live_forever_400_queen.jpg?width=400&height=400&crop=auto"
"119","Dirty Deeds Done Dirt Cheap","","AC/DC","","","2022-10-23 16:55:10","https://images.mediaworks.nz/radio/song/images/dirty_deeds_done_dirt_cheap_400_ac_dc.jpg?width=400&height=400&crop=auto"
"120","Sympathy For The Devil","","Rolling Stones","","","2022-10-23 16:49:50","https://images.mediaworks.nz/radio/song/images/sympathy_for_the_devil_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"121","Little Lies","","Fleetwood Mac","","","2022-10-23 16:44:30","https://images.mediaworks.nz/radio/song/images/little_lies_400_fleetwood_mac.jpg?width=400&height=400&crop=auto"
"122","Burning Down The House (Live)","","Talking Heads","","","2022-10-23 16:39:10","https://images.mediaworks.nz/radio/song/images/burning_down_the_house_live__400_talking_heads.jpg?width=400&height=400&crop=auto"
"123","Simple Man","","Lynyrd Skynyrd","","","2022-10-23 16:33:50","https://images.mediaworks.nz/radio/song/images/simple_man_400_lynyrd_skynyrd.jpg?width=400&height=400&crop=auto"
"124","Rain","","Dragon","","","2022-10-23 16:28:30","https://images.mediaworks.nz/radio/song/images/rain_400_dragon.jpg?width=400&height=400&crop=auto"
"125","Rocky Mountain Way","","Joe Walsh","","","2022-10-23 16:23:10","https://images.mediaworks.nz/radio/song/images/rocky_mountain_way_400_joe_walsh.jpg?width=400&height=400&crop=auto"
"126","Ramble On","","Led Zeppelin","","","2022-10-23 16:17:50","https://images.mediaworks.nz/radio/song/images/ramble_on_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"127","Starman","","David Bowie","","","2022-10-23 16:12:30","https://images.mediaworks.nz/radio/song/images/starman_400_david_bowie.jpg?width=400&height=400&crop=auto"
"128","Lola","","Kinks","","","2022-10-23 16:07:10","https://images.mediaworks.nz/radio/song/images/lola_400_kinks.jpg?width=400&height=400&crop=auto"
"129","Working Class Man","","Jimmy Barnes","","","2022-10-23 16:01:20","https://images.mediaworks.nz/radio/song/images/working_class_man_400_jimmy_barnes.jpg?width=400&height=400&crop=auto"
"130","Rhiannon","","Fleetwood Mac","","","2022-10-23 15:56:00","https://images.mediaworks.nz/radio/song/images/rhiannon_400_fleetwood_mac.jpg?width=400&height=400&crop=auto"
"131","Daughter","","Pearl Jam","","","2022-10-23 15:50:40","https://images.mediaworks.nz/radio/song/images/daughter_400_pearl_jam.jpg?width=400&height=400&crop=auto"
"132","Start Me Up","","Rolling Stones","","","2022-10-23 15:45:20","https://images.mediaworks.nz/radio/song/images/start_me_up_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"133","Rocket Man","","Elton John","","","2022-10-23 15:40:00","https://images.mediaworks.nz/radio/song/images/rocket_man_400_elton_john.jpg?width=400&height=400&crop=auto"
"134","Every Beath You Take","","Police","","","2022-10-23 15:34:40","https://images.mediaworks.nz/radio/song/images/every_beath_you_take_400_police.jpg?width=400&height=400&crop=auto"
"135","Going To California","","Led Zeppelin","","","2022-10-23 15:29:20","https://images.mediaworks.nz/radio/song/images/going_to_california_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"136","Mama I'm Coming Home","","Ozzy Osbourne","","","2022-10-23 15:24:00","https://images.mediaworks.nz/radio/song/images/mama_i_m_coming_home_400_ozzy_osbourne.jpg?width=400&height=400&crop=auto"
"137","I Got You","","Split Enz","","","2022-10-23 15:18:40","https://images.mediaworks.nz/radio/song/images/i_got_you_400_split_enz.jpg?width=400&height=400&crop=auto"
"138","A Day In The Life","","Beatles","","","2022-10-23 15:13:20","https://images.mediaworks.nz/radio/song/images/a_day_in_the_life_400_beatles.jpg?width=400&height=400&crop=auto"
"139","Won't Get Fooled Again","","The Who","","","2022-10-23 15:08:00","https://images.mediaworks.nz/radio/song/images/won_t_get_fooled_again_400_the_who.jpg?width=400&height=400&crop=auto"
"140","Wind Of Change","","Scorpions","","","2022-10-23 15:02:10","https://images.mediaworks.nz/radio/song/images/wind_of_change_400_scorpions.jpg?width=400&height=400&crop=auto"
"141","Sunshine Of Your Love","","Cream","","","2022-10-23 14:56:20","https://images.mediaworks.nz/radio/song/images/sunshine_of_your_love_400_cream.jpg?width=400&height=400&crop=auto"
"142","Gold Dust Woman","","Fleetwood Mac","","","2022-10-23 14:50:30","https://images.mediaworks.nz/radio/song/images/gold_dust_woman_400_fleetwood_mac.jpg?width=400&height=400&crop=auto"
"143","Come As You Are","","Nirvana","","","2022-10-23 14:44:40","https://images.mediaworks.nz/radio/song/images/come_as_you_are_400_nirvana.jpg?width=400&height=400&crop=auto"
"144","Bad To The Bone","","George Thorogood & The Destroyers","","","2022-10-23 14:38:50","https://images.mediaworks.nz/radio/song/images/bad_to_the_bone_400_george_thorogood_the_destroyers.jpg?width=400&height=400&crop=auto"
"145","Another One Bites The Dust","","Queen","","","2022-10-23 14:33:00","https://images.mediaworks.nz/radio/song/images/another_one_bites_the_dust_400_queen.jpg?width=400&height=400&crop=auto"
