name,name,length,played_time
Prophets Of Rage,Prophets Of Rage,183,2021-08-31 18:36:59+12
Lenny Kravitz,American Woman,227,2021-08-31 18:40:08+12
T. Rex,Get It On,267,2021-08-31 18:49:20+12
Seether,Country Song,227,2021-08-31 18:53:52+12
Garbage,Stupid Girl,257,2021-08-31 18:57:38+12
R.E.M,Man On The Moon,314,2021-09-01 08:02:10+12
Mastodon,Curl Of The Burl,217,2021-09-01 08:06:23+12
Doobie Brothers,Listen To The Music,281,2021-09-01 08:11:41+12
Monster Magnet,Space Lord,264,2021-09-01 08:16:23+12
Alice Cooper,Welcome To My Nightmare,162,2021-09-01 08:27:14+12
Scars On Broadway,They Say,166,2021-09-01 08:29:59+12
Bob Dylan,Knockin' On Heaven's Door,149,2021-09-01 08:34:12+12
Slash,World On Fire,268,2021-09-01 08:37:03+12
Led Zeppelin,Communication Breakdown,148,2021-09-01 08:47:24+12
The Darkness,One Way Ticket,265,2021-09-01 08:49:58+12
Doobie Brothers,Long Train Runnin',203,2021-09-01 08:53:59+12
30 Seconds To Mars,Closer To The Edge,251,2021-09-01 09:05:51+12
Tom Petty,A Face In the Crowd,239,2021-09-01 09:10:11+12
The Rubens,My Gun,187,2021-09-01 09:14:07+12
Guns N' Roses,Better,300,2021-09-01 09:17:16+12
Billy Idol,Flesh For Fantasy,224,2021-09-01 09:22:20+12
Pearl Jam,Why Go,200,2021-09-01 09:26:08+12
Breaking Benjamin,Blow Me Away,187,2021-09-01 09:31:31+12
Van Halen,Ain't Talkin About Love,229,2021-09-01 09:35:02+12
The Pixies,Debaser,170,2021-09-01 09:38:55+12
Alice In Chains,Stone,262,2021-09-01 09:47:10+12
Deep Purple,Hush,257,2021-09-01 09:51:39+12
Def Leppard,Rockit,240,2021-09-01 09:56:11+12
Fleetwood Mac,Don't Stop,204,2021-09-01 10:04:58+12
Aerosmith,Falling In Love (Is Hard On The Knees),200,2021-09-01 10:08:27+12
Joy Division,Love Will Tear Us Apart,205,2021-09-01 10:11:48+12
Chevelle,Hats Off To The Bull,235,2021-09-01 10:16:10+12
Midnight Oil,Forgotten Years,261,2021-09-01 10:20:14+12
Foo Fighters,The One,163,2021-09-01 10:24:33+12
Sepultura,Roots Bloody Roots,209,2021-09-01 10:28:20+12
