"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"75","Sympathy For The Devil","","Rolling Stones","","","2020-10-26 09:55:20","https://cdn.mediaworks.nz/radio/song/images/sympathy_for_the_devil_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"76","Knockin' On Heaven's Door","","Bob Dylan","","","2020-10-26 09:49:42","https://cdn.mediaworks.nz/radio/song/images/knockin_on_heaven_s_door_400_bob_dylan.jpg?width=400&height=400&crop=auto"
"77","Back In Black","","AC/DC","","","2020-10-26 09:44:04","https://cdn.mediaworks.nz/radio/song/images/back_in_black_400_ac_dc.jpg?width=400&height=400&crop=auto"
"78","Computer Games","","Mi-Sex","","","2020-10-26 09:38:26","https://cdn.mediaworks.nz/radio/song/images/computer_games_400_mi_sex.jpg?width=400&height=400&crop=auto"
"79","Life's Been Good","","Joe Walsh","","","2020-10-26 09:32:48","https://cdn.mediaworks.nz/radio/song/images/life_s_been_good_400_joe_walsh.jpg?width=400&height=400&crop=auto"
"80","You're My Best Friend","","Queen","","","2020-10-26 09:27:10","https://cdn.mediaworks.nz/radio/song/images/you_re_my_best_friend_400_queen.jpg?width=400&height=400&crop=auto"
"81","I See Red","","Split Enz","","","2020-10-26 09:21:32","https://cdn.mediaworks.nz/radio/song/images/i_see_red_400_split_enz.jpg?width=400&height=400&crop=auto"
"82","All My Love","","Led Zeppelin","","","2020-10-26 09:15:54","https://cdn.mediaworks.nz/radio/song/images/all_my_love_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"83","We Can Get Together","","Flowers","","","2020-10-26 09:10:16","https://cdn.mediaworks.nz/radio/song/images/we_can_get_together_400_flowers.jpg?width=400&height=400&crop=auto"
"84","Another One Bites The Dust","","Queen","","","2020-10-26 09:04:38","https://cdn.mediaworks.nz/radio/song/images/another_one_bites_the_dust_400_queen.jpg?width=400&height=400&crop=auto"
"85","Drive","","Cars","","","2020-10-26 08:59:00","https://cdn.mediaworks.nz/radio/song/images/drive_400_cars.jpg?width=400&height=400&crop=auto"
"86","The Jean Genie","","David Bowie","","","2020-10-26 08:53:22","https://cdn.mediaworks.nz/radio/song/images/the_jean_genie_400_david_bowie.jpg?width=400&height=400&crop=auto"
"87","More Than A Feeling","","Boston","","","2020-10-26 08:47:44","https://cdn.mediaworks.nz/radio/song/images/more_than_a_feeling_400_boston.jpg?width=400&height=400&crop=auto"
"88","Blue Lady","","Hello Sailor","","","2020-10-26 08:42:06","https://cdn.mediaworks.nz/radio/song/images/blue_lady_400_hello_sailor.jpg?width=400&height=400&crop=auto"
"89","Rock The Casbah","","Clash","","","2020-10-26 08:36:28","https://cdn.mediaworks.nz/radio/song/images/rock_the_casbah_400_clash.jpg?width=400&height=400&crop=auto"
"90","Misty Mountain Hop","","Led Zeppelin","","","2020-10-26 08:30:50","https://cdn.mediaworks.nz/radio/song/images/misty_mountain_hop_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"91","Give A Little Bit","","Supertramp","","","2020-10-26 08:25:12","https://cdn.mediaworks.nz/radio/song/images/give_a_little_bit_400_supertramp.jpg?width=400&height=400&crop=auto"
"92","Once In A Lifetime","","Talking Heads","","","2020-10-26 08:19:34","https://cdn.mediaworks.nz/radio/song/images/once_in_a_lifetime_400_talking_heads.jpg?width=400&height=400&crop=auto"
"93","Private Investigations","","Dire Straits","","","2020-10-26 08:13:56","https://cdn.mediaworks.nz/radio/song/images/private_investigations_400_dire_straits.jpg?width=400&height=400&crop=auto"
"94","Tush","","ZZ Top","","","2020-10-26 08:08:18","https://cdn.mediaworks.nz/radio/song/images/tush_400_zz_top.jpg?width=400&height=400&crop=auto"
"95","Forever Now","","Cold Chisel","","","2020-10-26 08:02:40","https://cdn.mediaworks.nz/radio/song/images/forever_now_400_cold_chisel.jpg?width=400&height=400&crop=auto"
"96","Sharp Dressed Man","","ZZ Top","","","2020-10-26 07:57:02","https://cdn.mediaworks.nz/radio/song/images/sharp_dressed_man_400_zz_top.jpg?width=400&height=400&crop=auto"
"97","Baker Street","","Gerry Rafferty","","","2020-10-26 07:51:24","https://cdn.mediaworks.nz/radio/song/images/baker_street_400_gerry_rafferty.jpg?width=400&height=400&crop=auto"
"98","It's A Long Way To The Top (If You Wanna Rock 'n' Roll)","","AC/DC","","","2020-10-26 07:45:46","https://cdn.mediaworks.nz/radio/song/images/it_s_a_long_way_to_the_top_if_you_wanna_rock_n_roll__400_ac_dc.jpg?width=400&height=400&crop=auto"
"99","Hey Hey My My (Into The Black)","","Neil Young/Crazy Horse","","","2020-10-26 07:40:08","https://cdn.mediaworks.nz/radio/song/images/hey_hey_my_my_into_the_black__400_neil_young_crazy_horse.jpg?width=400&height=400&crop=auto"
"100","Don't You (Forget About Me)","","Simple Minds","","","2020-10-26 07:34:30","https://cdn.mediaworks.nz/radio/song/images/don_t_you_forget_about_me__400_simple_minds.jpg?width=400&height=400&crop=auto"
"101","Something","","Beatles","","","2020-10-26 07:28:52","https://cdn.mediaworks.nz/radio/song/images/something_400_beatles.jpg?width=400&height=400&crop=auto"
"102","Dreamer","","Supertramp","","","2020-10-26 07:23:14","https://cdn.mediaworks.nz/radio/song/images/dreamer_400_supertramp.jpg?width=400&height=400&crop=auto"
"103","Sweet Child O' Mine","","Guns N' Roses","","","2020-10-26 07:17:36","https://cdn.mediaworks.nz/radio/song/images/sweet_child_o_mine_400_guns_n_roses.jpg?width=400&height=400&crop=auto"
"104","Who Wants To Live Forever","","Queen","","","2020-10-26 07:11:58","https://cdn.mediaworks.nz/radio/song/images/who_wants_to_live_forever_400_queen.jpg?width=400&height=400&crop=auto"
"105","(I Can't Get No) Satisfaction","","Rolling Stones","","","2020-10-26 07:06:20","https://cdn.mediaworks.nz/radio/song/images/_i_can_t_get_no_satisfaction_400_rolling_stones.jpg?width=400&height=400&crop=auto"
